# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct 29 14:40:52 2017
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
#
rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_prad,koi_srad
1727,10730034,K01305.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.633852528,2.02060,259.8,1.38,0.8780
1728,10730034,K01305.02,CONFIRMED,CANDIDATE,0.9780,0,0,0,0,6.186708820,2.90900,202.6,1.21,0.8780
1729,10858691,K01306.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.796320953,1.91390,210.9,1.20,0.8290
1730,10858691,K01306.02,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,3.468073000,2.36100,243.9,1.29,0.8290
1731,10858691,K01306.03,CONFIRMED,CANDIDATE,0.9500,0,0,0,0,5.914266800,2.66100,253.2,1.31,0.8290
1732,10858691,K01306.04,CONFIRMED,CANDIDATE,0.9100,0,0,0,0,29.221495900,4.01400,394.0,1.81,0.8290
1733,10973814,K01307.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,44.852099700,3.57290,780.8,3.35,1.0710
1734,10973814,K01307.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,20.342378380,2.33510,564.6,2.88,1.0710
1735,10586208,K01308.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,23.584447460,5.55450,429.2,3.00,1.3540
1736,10854768,K01309.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.117168400,4.66770,288.7,3.07,1.7920
1737,10964440,K01310.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,19.129476030,3.96220,451.2,4.23,1.7100
1738,10964440,K01310.02,CANDIDATE,CANDIDATE,0.9130,0,0,0,0,144.688915000,9.46800,397.1,3.33,1.7100
1739,10713616,K01311.01,CANDIDATE,CANDIDATE,0.9390,0,0,0,0,83.578197600,7.24870,630.8,6.63,2.5620
1740,10963242,K01312.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.146995600,3.31530,249.6,2.04,1.2960
1741,10785538,K01313.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,0.522457732,0.89070,143.8,1.52,0.9540
1742,10585852,K01314.01,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,8.575049830,8.65300,160.6,4.26,3.4640
1743,10928043,K01315.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,6.846398840,3.49190,149.7,1.90,1.3100
1744,10794087,K01316.01,CANDIDATE,CANDIDATE,0.9970,0,0,0,0,7.649708320,6.62500,55.4,1.43,1.6130
1745,4275739,K01317.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,2.171827838,3.22050,42086.0,58.56,0.8910
1746,4070376,K01318.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.634614356,3.44220,19761.5,44.22,0.9700
1747,4078157,K01319.01,FALSE POSITIVE,FALSE POSITIVE,0.0020,0,1,0,0,16.025018977,3.88280,29090.0,1069.01,0.7890
1748,4164994,K01320.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.506829780,3.77690,13355.5,9.01,0.7820
1749,4480676,K01321.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,0.711966971,2.02210,6227.5,33.34,0.8300
1750,4079535,K01322.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,17.727243920,4.10730,16878.0,14.77,1.0060
1751,4076098,K01323.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.990105908,2.41080,6154.9,7.45,0.9130
1752,4551328,K01324.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,0.522058620,2.08470,1381.3,27.16,0.8780
1753,4282872,K01325.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.035381809,3.40620,2829.7,4.42,0.8330
1754,4639868,K01326.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,53.100942624,2.28680,19981.1,24.02,0.9730
1755,4372768,K01327.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,15.640251500,6.22200,800.3,18.11,0.8260
1756,4074736,K01328.01,CANDIDATE,CANDIDATE,0.9090,0,0,0,0,80.966956100,2.52760,4733.0,5.04,0.7370
1757,4072526,K01329.01,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,33.199635500,5.02200,1112.5,2.85,0.8800
1758,4150539,K01330.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,8.653065870,4.48600,1048.1,19.78,0.6940
1759,4150539,K01330.02,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,94.219289000,24.31200,1025.9,2.15,0.6940
1760,4274548,K01331.01,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,6.800820320,1.98830,699.9,1.88,0.6880
1761,4455231,K01332.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,19.305816620,4.29020,709.1,4.00,1.5220
1762,4455231,K01332.02,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,6.097472330,3.43100,217.6,2.22,1.5220
1763,4455231,K01332.03,CONFIRMED,CANDIDATE,0.9910,0,0,0,0,56.637918000,6.17200,589.7,3.68,1.5220
1764,4285107,K01333.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,2.243016513,2.72100,299.6,1.37,0.7320
1765,4150624,K01334.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,8.653121600,4.39000,654.8,22.58,0.8520
1766,4150624,K01334.02,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,1,94.225938000,22.08000,530.4,1.93,0.8520
1767,4155328,K01335.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,127.833499700,10.91400,1829.9,9.46,2.1700
1768,4077526,K01336.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.218645320,3.80200,445.3,2.33,1.0830
1769,4077526,K01336.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,15.573637000,5.32600,468.1,2.94,1.0830
1770,4077526,K01336.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,40.101556100,5.24600,550.0,2.92,1.0830
1771,4077526,K01336.04,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,4.458148970,2.86700,188.1,1.61,1.0830
1772,4243911,K01337.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.922799706,1.86040,259.7,1.28,0.8150
1773,4466677,K01338.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.222975318,2.92470,232.7,1.47,0.9600
1774,4466677,K01338.02,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,42.037066200,6.28200,266.8,1.66,0.9600
1775,4466677,K01338.03,CANDIDATE,CANDIDATE,0.7540,0,0,0,0,21.011206800,4.50700,163.6,1.40,0.9600
1776,4135665,K01339.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.168118390,2.80840,263.0,2.28,1.3130
1777,4386059,K01340.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,2.900607810,2.56300,124.8,1.58,1.3710
1778,4650674,K01341.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.514360960,3.00830,230.7,1.84,1.2150
1779,4275721,K01342.01,CONFIRMED,CANDIDATE,0.8080,0,0,0,0,3.773598710,2.72820,176.0,1.29,0.9690
1780,4275721,K01342.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.181821890,2.45660,299.6,1.77,0.9690
1781,4570931,K01343.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.544927524,1.01340,138.5,1.39,1.1320
1782,4136466,K01344.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,4.487587680,2.87400,112.0,1.37,1.2570
1783,7199774,K01346.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.708186280,3.27800,56545.0,42.99,0.8940
1784,7037540,K01347.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,14.405857436,5.48509,30430.6,23.42,1.3460
1785,6866228,K01348.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,7.702374154,3.84590,18377.0,225.25,0.8300
1786,6847018,K01349.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,16.662166570,3.87620,27442.0,843.45,1.1690
1787,7220322,K01350.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,0.752159702,2.36210,3425.0,43.73,1.1750
1788,6964043,K01351.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,10.723963740,3.84390,13518.0,39.84,0.9050
1789,6956233,K01352.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,4.818861530,6.22300,1318.6,2.96,0.6510
1790,7303287,K01353.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,125.865401910,9.01910,12389.5,12.37,1.1150
1791,7303287,K01353.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,34.543945200,3.48200,429.8,2.67,1.1150
1792,7303287,K01353.03,CANDIDATE,CANDIDATE,0.3430,0,0,0,0,330.071558000,4.29500,616.7,2.94,1.1150
1793,6891543,K01354.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.752567456,5.49930,607.3,26.56,0.9960
1794,7211141,K01355.01,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,51.929206540,5.26370,3425.8,8.49,1.4420
1795,6719086,K01357.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,3.014330766,2.47470,975.3,2.87,0.9530
1796,7376983,K01358.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,5.644914154,2.25990,1397.9,2.66,0.7140
1797,7376983,K01358.02,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,8.742920050,2.62770,779.5,1.92,0.7140
1798,7376983,K01358.03,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,3.648301830,1.99850,371.7,1.33,0.7140
1799,7376983,K01358.04,CANDIDATE,CANDIDATE,0.9330,0,0,0,0,2.345863002,1.67950,316.7,1.23,0.7140
1800,6946199,K01359.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,37.101141800,5.55560,1357.5,3.19,0.8500
1801,6946199,K01359.02,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,104.820586800,4.47940,3920.1,6.45,0.8500
1802,7102227,K01360.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,36.770493500,4.42000,1346.6,2.83,0.7550
1803,7102227,K01360.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,14.589324290,2.41840,831.3,2.32,0.7550
1804,7102227,K01360.03,CANDIDATE,CANDIDATE,0.9210,0,0,0,0,0.764017553,1.10300,128.2,0.86,0.7550
1805,6960913,K01361.01,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,59.878025800,4.80270,1419.1,2.19,0.5990
1806,6837146,K01362.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,20.513601920,3.47690,1174.1,2.58,0.7040
1807,6936909,K01363.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.546531809,2.27460,442.7,2.18,0.9860
1808,6936909,K01363.02,CONFIRMED,CANDIDATE,0.9830,0,0,0,0,5.700706260,1.64080,379.8,2.03,0.9860
1809,6962977,K01364.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,20.834149700,4.52200,803.1,2.26,0.8080
1810,6962977,K01364.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.055658400,3.04790,705.6,2.13,0.8080
1811,6962977,K01364.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.978844090,3.75100,707.9,2.11,0.8080
1812,6962977,K01364.04,CONFIRMED,CANDIDATE,0.8570,0,0,0,0,3.715455930,2.55800,331.7,1.46,0.8080
1813,6962977,K01364.05,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.580832640,2.17290,270.2,1.31,0.8080
1814,7174351,K01365.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.487084251,1.32330,295.7,1.60,0.8760
1815,6932987,K01366.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,19.254040230,4.65090,987.7,3.04,0.9410
1816,6932987,K01366.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,54.155838400,4.43200,1109.8,3.88,0.9410
1817,6934291,K01367.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,0.567856484,1.02580,334.8,1.55,0.8530
1818,7357531,K01368.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,251.059724900,5.10950,7419.8,44.20,1.0860
1819,7287415,K01369.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,3.016182013,2.83490,222.5,2.25,1.4000
1820,6924203,K01370.01,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,6.883376100,2.27020,458.4,1.69,0.7940
1821,6878167,K01371.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,0.833980196,1.75600,261.2,1.45,0.8710
1822,6863839,K01373.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.926353494,2.53050,185.1,1.33,0.8990
1823,7296086,K01374.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,0.890737359,1.92570,195.8,20.57,1.1690
1824,6766634,K01375.01,CANDIDATE,CANDIDATE,0.6770,0,0,0,0,321.212436500,4.01200,2358.6,7.25,1.2860
1825,6774826,K01376.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,7.138953760,4.56800,254.2,49.96,2.1450
1826,7211469,K01377.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,11.296894420,4.62300,198.5,1.74,1.1760
1827,7375795,K01378.01,FALSE POSITIVE,FALSE POSITIVE,0.4900,0,0,1,0,19.301120390,6.07520,232.3,1.66,0.9430
1828,7375795,K01378.02,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,0.691666384,1.96030,35.6,0.58,0.9430
1829,7211221,K01379.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.621543150,2.41430,172.3,1.37,0.9600
1830,7025526,K01380.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,1.074106954,1.97970,64.5,0.52,0.6760
1831,9451127,K01381.01,FALSE POSITIVE,FALSE POSITIVE,0.0050,0,1,0,0,5.117401517,4.30560,62929.0,28.41,1.0530
1832,9446824,K01382.01,FALSE POSITIVE,FALSE POSITIVE,0.0850,0,1,0,0,4.202336730,3.69730,45982.0,23.53,1.0940
1833,8953257,K01383.01,FALSE POSITIVE,FALSE POSITIVE,0.3830,0,1,0,0,3.221785738,3.34110,46379.0,25.03,1.0410
1834,8971432,K01384.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,0.624387500,1.92102,36854.7,29.45,0.6180
1835,9278553,K01385.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,18.610092584,4.98308,50833.5,55.23,0.8910
1836,9143254,K01386.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.137525054,2.68228,18006.1,42.74,0.9370
1837,8949247,K01387.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,23.799939273,5.02319,60186.4,51.74,0.9570
1838,9346253,K01388.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,34.064566412,9.61140,28450.4,15.57,0.8920
1839,9002237,K01389.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.350087749,2.64280,23593.0,24.77,0.9530
1840,9288786,K01390.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.744101106,1.54970,9681.4,7.21,0.7030
1841,8958035,K01391.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,7.981187121,1.80710,7609.5,18.75,0.9890
1842,9040849,K01392.01,FALSE POSITIVE,FALSE POSITIVE,0.0870,0,0,1,0,4.118775582,3.76000,2647.7,4.48,0.8020
1843,9202151,K01393.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,1.694740233,1.68640,1446.8,2.12,0.5270
1844,8937021,K01394.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,5.663621501,1.29680,1225.0,2.47,0.7230
1845,8935810,K01395.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,6.230335000,1.64930,1449.2,3.70,0.8650
1846,9455556,K01396.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.626434410,3.17520,814.6,2.54,0.9030
1847,9455556,K01396.02,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,3.701220610,2.52300,327.4,1.62,0.9030
1848,9427402,K01397.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,6.247030799,1.48480,1496.6,1.89,0.4870
1849,9269281,K01398.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,5.823489110,2.24410,888.7,3.00,0.8640
1850,9100484,K01399.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,8.750597750,2.82880,881.9,2.27,0.7790
1851,9157908,K01400.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,9.414750560,4.73600,483.4,19.33,1.0330
1852,9034103,K01402.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.139697050,3.98100,512.9,2.24,0.9930
1853,9214942,K01403.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,18.754702380,3.03310,995.3,1.67,0.5400
1854,8874090,K01404.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,13.323893520,3.22080,781.3,1.26,0.4500
1855,8874090,K01404.02,CANDIDATE,CANDIDATE,0.9550,0,0,0,0,18.906092100,4.12500,375.6,0.87,0.4500
1856,9264949,K01405.01,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,11.419118860,5.13500,509.2,3.32,1.1720
1857,9271752,K01406.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.361132540,4.18860,569.5,2.60,1.0090
1858,9150827,K01408.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,14.534108330,3.30940,510.6,1.36,0.5530
1859,9391208,K01409.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.560625770,2.61100,700.8,2.94,0.8550
1860,9391506,K01410.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,15.749585830,4.66720,659.5,2.77,1.0250
1861,9425139,K01411.01,CANDIDATE,CANDIDATE,0.9950,0,0,0,0,305.076246900,6.25500,4042.8,7.82,1.1550
1862,8950853,K01412.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,37.814525200,9.10900,412.5,3.04,1.3140
1863,9006449,K01413.01,CONFIRMED,CANDIDATE,0.9860,0,0,0,0,12.645042910,9.11700,200.4,1.55,0.8860
1864,9006449,K01413.02,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,21.526295800,8.39200,190.0,1.36,0.8860
1865,9006449,K01413.03,CONFIRMED,CANDIDATE,0.9350,0,0,0,0,33.884582500,6.53800,224.1,1.74,0.8860
1866,8916492,K01414.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.023789080,3.23700,32.1,2.24,3.6850
1867,11517719,K01416.01,CONFIRMED,CANDIDATE,0.9200,0,1,0,0,2.495780169,4.27210,25070.0,15.75,0.9920
1868,11599264,K01417.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,8.428090255,1.88100,11355.5,517.43,0.8050
1869,11100657,K01418.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,8.344104633,1.80140,9695.0,836.31,0.8380
1870,11125936,K01419.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,1.336109338,1.74190,2204.3,35.19,0.9670
1871,11026304,K01420.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,13.351512480,3.60450,3308.8,4.44,0.7540
1872,11497958,K01422.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.841636615,1.87340,1336.3,1.38,0.3830
1873,11497958,K01422.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,19.850294950,2.84070,1607.5,1.52,0.3830
1874,11497958,K01422.03,CONFIRMED,CANDIDATE,0.9850,0,0,0,0,10.864409500,1.85300,748.7,1.14,0.3830
1875,11497958,K01422.04,CONFIRMED,CANDIDATE,0.9270,0,0,0,0,63.335471900,3.65100,983.0,1.18,0.3830
1876,11497958,K01422.05,CONFIRMED,CANDIDATE,0.9840,0,0,0,0,34.142050600,2.94500,788.0,1.06,0.3830
1877,11177707,K01423.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,124.419717500,3.71970,4107.0,10.30,1.6590
1878,11611600,K01424.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.219568047,1.56810,494.9,1.51,0.7010
1879,11254382,K01425.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.053884770,2.16350,546.7,2.74,1.1760
1880,11122894,K01426.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,38.868489560,6.05730,1004.9,2.81,0.8970
1881,11122894,K01426.02,CONFIRMED,CANDIDATE,0.9070,0,0,0,0,74.927686530,4.74000,4119.2,6.39,0.8970
1882,11122894,K01426.03,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,150.018951100,4.38230,4319.7,32.60,0.8970
1883,11129738,K01427.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,2.613020421,1.95880,599.7,1.50,0.5170
1884,11129738,K01427.02,CANDIDATE,CANDIDATE,0.8910,0,0,0,0,4.884466440,2.05700,221.0,0.84,0.5170
1885,11401182,K01428.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,0.927859786,1.42790,515.3,1.79,0.6990
1886,11030711,K01429.01,CANDIDATE,CANDIDATE,0.9970,0,0,0,0,205.912735000,9.99200,2378.8,4.68,0.9690
1887,11176127,K01430.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.475480840,2.30240,1070.7,2.11,0.6110
1888,11176127,K01430.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,22.928863140,2.08310,908.9,2.08,0.6110
1889,11176127,K01430.03,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,77.474099100,4.16800,1543.6,2.63,0.6110
1890,11075279,K01431.01,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,345.158935400,7.56460,5087.9,7.79,0.9310
1891,11014932,K01432.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.885952220,4.14800,428.5,2.68,0.9990
1892,11014932,K01432.02,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,15.054935600,4.80100,256.4,1.60,0.9990
1893,11014932,K01432.03,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,2.927211190,2.54500,170.2,1.29,0.9990
1894,11014932,K01432.04,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,38.285633800,6.51200,322.8,1.77,0.9990
1895,11288505,K01433.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,19.807877630,3.45300,616.3,2.08,0.8400
1896,11493431,K01434.01,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,2.343230566,2.04240,246.5,1.18,0.7820
1897,11037335,K01435.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,40.715049800,8.58700,563.9,2.20,0.8810
1898,11037335,K01435.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.446359440,2.74900,354.2,2.18,0.8810
1899,11389771,K01436.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.508553286,2.26640,211.6,1.28,0.8810
1900,11389771,K01436.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.751296360,3.85300,348.5,1.66,0.8810
1901,11389771,K01436.03,CONFIRMED,CANDIDATE,0.9800,0,0,0,0,5.419084910,2.33790,231.0,1.38,0.8810
1902,11599038,K01437.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,7.017335710,3.56700,255.5,1.61,0.9670
1903,11599038,K01437.02,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,9.279890000,3.33000,164.3,1.29,0.9670
1904,11599038,K01437.03,FALSE POSITIVE,FALSE POSITIVE,0.4710,1,0,0,0,17.421732200,4.71800,208.4,1.42,0.9670
1905,11193263,K01438.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.911342230,5.67430,201.7,1.90,1.3500
1906,11027624,K01439.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,394.624951400,24.10800,2013.3,7.79,1.7270
1907,11032227,K01440.01,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,7.193049350,3.40700,255.3,1.59,0.9910
1908,11356260,K01441.01,CONFIRMED,CANDIDATE,0.9860,0,0,0,0,8.506980690,2.93800,295.5,1.90,0.9860
1909,11600889,K01442.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,0.669310092,1.62740,131.8,1.13,1.0030
1910,11197126,K01443.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,4.494498254,1.97420,248.2,62.11,3.4030
1911,11043167,K01444.01,CONFIRMED,CANDIDATE,0.9790,0,0,0,0,44.930670600,6.53900,438.4,2.49,1.1640
1912,11336883,K01445.01,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,7.168930640,4.67660,112.8,1.61,1.4580
1913,12506351,K01446.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.227758770,2.75450,46148.0,48.79,1.0440
1914,7622486,K01447.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,40.246498970,6.02030,159414.0,97.54,1.6910
1915,7622486,K01447.02,FALSE POSITIVE,FALSE POSITIVE,0.9570,0,1,0,0,2.279996620,5.77770,12831.0,20.74,1.6910
1916,9705459,K01448.01,CANDIDATE,CANDIDATE,0.8670,0,1,0,0,2.486586170,2.71890,42122.0,24.39,1.1980
1917,7802136,K01449.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,10.980246199,3.74464,50078.0,21.94,0.8970
1918,7532973,K01450.01,CONFIRMED,FALSE POSITIVE,0.0410,0,1,0,0,2.144632238,6.27010,19836.9,59.19,1.3050
1919,9632895,K01451.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,27.322044880,5.67160,77474.5,21.58,0.7720
1920,7449844,K01452.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.152216965,2.22450,12072.0,187.73,15.1130
1921,7842610,K01453.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,0.971933156,1.92650,4786.0,50.75,0.9310
1922,7830637,K01454.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,121.599127800,15.15960,10537.0,379.63,0.8470
